Number,Title,Author,Weeks on list,Movement
1,Where the Crawdads Sing,Delia Owens,69,None
2,The Guardians,John Grisham,12,None
3,The Last Wish,Andrzej Sapkowski,2,Up
4,The Wives,Tarryn Fisher,0,None
5,Such a Fun Age,Kiley Reid,0,None
6,The Silent Patient,Alex Michaelides,16,up
7,The Dutch House,Ann Patchett,15,Up
8,Daisy Jones & the Six,Taylor Jenkins Reid,4,None
9,The Giver of Stars,Jojo Moyes,12,up
10,A Minute to Midnight,David Baldacci,7,Down
11,Criss Cross,James Patterson,6,Down
12,Blood of Elves,Andrzej Sapkowski,2,None
13,Blue Moon,Lee Child,10,Down
14,The Tattooist of Auschwitz,Heather Morris,62,Down
15,Before We Were Yours,Lisa Wingate,52,None
